TimeStamp,RecNum,Pressure_1,Pressure_2,Pressure_3,Pressure_4,Torque,Encoder,Gen_V,Target_Cycle_s
2026-07-17 12:00:00.000,0,100.0,100.05039578385711,18.609314684434572,19.51557624447286,9.700499750059516,0.0,5.0,2.0
2026-07-17 12:00:00.020,1,101.25581039058626,101.24379851773573,19.042831111404773,19.88353650169574,9.888521230803363,12.558103905862675,5.0002,2.0
2026-07-17 12:00:00.040,2,102.50666467128609,102.43623909024578,19.480125046689388,20.255902930282772,10.076982667319424,25.06664671286085,5.0004,2.0
2026-07-17 12:00:00.060,3,103.7476262917145,103.62301148322186,19.919470690906447,20.631205970058364,10.26514028841761,37.47626291714492,5.0006,2.0
2026-07-17 12:00:00.080,4,104.9737977432971,104.79943204821362,20.359134147516155,21.00796447138417,10.452251521928488,49.73797743297096,5.0008,2.0
2026-07-17 12:00:00.100,5,106.18033988749895,105.96085799070647,20.797380265718402,21.384691540580043,10.637577925296382,61.803398874989476,5.001,2.0
2026-07-17 12:00:00.120,6,107.36249105369356,107.10270569311045,21.232479488300253,21.75990040801409,10.820388099874776,73.62491053693559,5.0012,2.0
2026-07-17 12:00:00.140,7,108.51558583130145,108.22046880420474,21.6627146774081,22.132110295703185,10.999960577422637,85.15585831301455,5.0014,2.0
2026-07-17 12:00:00.160,8,109.6350734820343,109.30973602364725,22.0863878913063,22.499852261267133,11.175586667409945,96.35073482034306,5.0016,2.0
2026-07-17 12:00:00.180,9,110.71653589957994,110.36620851136169,22.501827085377467,22.86167499517318,11.346573253895444,107.16535899579934,5.0018,2.0
2026-07-17 12:00:00.200,10,111.75570504584947,111.38571685309545,22.907392710918728,23.216150548391678,11.512245530938621,117.55705045849463,5.002,2.0
2026-07-17 12:00:00.220,11,112.74847979497379,112.36423751519271,23.301484185691372,23.561879967858555,11.67194966575045,127.48479794973792,5.0022,2.0
2026-07-17 12:00:00.240,12,113.69094211857377,113.2979087236438,23.682546210687747,23.89749881750392,11.825055379072705,136.90942118573773,5.0024,2.0
2026-07-17 12:00:00.260,13,114.57937254842824,114.18304570474272,24.049074908185872,24.22168256305789,11.970958432602252,145.7937254842823,5.0026,2.0
2026-07-17 12:00:00.280,14,115.41026485551578,115.01615522720572,24.399623756867747,24.53315179938223,12.109083013643573,154.10264855515786,5.0028,2.0
2026-07-17 12:00:00.300,15,116.18033988749895,115.79394938835915,24.732809300578168,24.830677299697925,12.23888400757842,161.80339887498948,5.003,2.0
2026-07-17 12:00:00.320,16,116.8865585100403,116.51335858998932,25.047316608194105,25.1130848667817,12.35984914918416,168.86558510040302,5.0032,2.0
2026-07-17 12:00:00.340,17,117.52613360087727,117.17154365264417,25.34190446305712,25.379259966986027,12.471501044310598,175.26133600877273,5.0034,2.0
2026-07-17 12:00:00.360,18,118.0965410493204,117.76590702057757,25.61541026148845,25.628152128794223,12.573399053936562,180.9654104932039,5.0036,2.0
2026-07-17 12:00:00.380,19,118.59552971776503,118.29410301311506,25.866754601054605,25.858779088551657,12.665141033170837,185.95529717765027,5.0038,2.0
2026-07-17 12:00:00.400,20,119.02113032590307,118.75404708198391,26.094945540475624,26.070230667011593,12.746364918334304,190.2113032590307,5.004,2.0
2026-07-17 12:00:00.420,21,119.37166322257262,119.14392403807275,26.299082514364137,26.26167236139689,12.81675015585989,193.71663222572622,5.0042,2.0
2026-07-17 12:00:00.440,22,119.64574501457378,119.46219521515373,26.47835988734552,26.432348638801194,12.876018967371035,196.4574501457377,5.0044,2.0
2026-07-17 12:00:00.460,23,119.84229402628955,119.70760454229519,26.63207013353265,26.58158591793218,12.923937445946052,198.42294026289557,5.0046,2.0
2026-07-17 12:00:00.480,24,119.96053456856544,119.87918350099974,26.759606628807365,26.70879522742913,12.960316479241872,199.6053456856543,5.0048,2.0
2026-07-17 12:00:00.500,25,120.0,119.97625494750436,26.860466044888692,26.813474530263868,12.985012495834077,200.0,5.005,2.0
2026-07-17 12:00:00.520,26,119.96053456856544,119.99843578515741,26.934250335739645,26.895210705051536,12.997928031827716,199.6053456856543,5.0052,2.0
2026-07-17 12:00:00.540,27,119.84229402628955,119.94563847632615,26.98066830847307,26.953681176451948,12.999012115502769,198.42294026289557,5.0054,2.0
2026-07-17 12:00:00.560,28,119.64574501457378,119.81807138786773,26.999536772556947,26.988655188227106,12.988260468476238,196.4574501457377,5.0056,2.0
2026-07-17 12:00:00.580,29,119.37166322257262,119.61623796880045,26.990781262783713,26.999994713930636,12.965715522586981,193.71663222572624,5.0058,2.0
2026-07-17 12:00:00.600,30,119.02113032590307,119.34093476342042,26.954436333150433,26.987655001635126,12.931466252436614,190.21130325903073,5.006,2.0
2026-07-17 12:00:00.620,31,118.59552971776503,118.99324826770524,26.890645420489953,26.95168475054753,12.885647824247418,185.95529717765027,5.0062,2.0
2026-07-17 12:00:00.640,32,118.0965410493204,118.57455064141061,26.799660278391244,26.892225918815644,12.828441062423007,180.9654104932039,5.0064,2.0
2026-07-17 12:00:00.660,33,117.52613360087727,118.0864942927828,26.681839983643012,26.809513163284155,12.760071735917018,175.2613360087727,5.0066,2.0
2026-07-17 12:00:00.680,34,116.8865585100403,117.5310053572581,26.53764951912166,26.703872913411285,12.680809667226196,168.865585100403,5.0068,2.0
2026-07-17 12:00:00.700,35,116.18033988749895,116.91027609588625,26.367657938716295,26.575722083000844,12.590967667524271,161.80339887498948,5.007,2.0
